Image,U2-Net IoU,SAM IoU
im005.jpg,0.8577384388429222,0.8340737183335334
im010.jpg,0.8889020912547528,0.9669437846397466
im013.jpg,0.9146942126145847,0.9575194248783676
im018.jpg,0.9806337534031266,0.9671267966415256
im037.jpg,0.8083476342240745,0.9395296752519597
im045.jpg,0.9908938413611311,0.9859324275580137
im050.jpg,0.9470208540218471,0.7408029308502518
im052.jpg,0.9683074146070536,0.9645532741398446
im061.jpg,0.9058609170968721,0.7136032944406314
im096.jpg,0.6382829697818692,0.9259303082293084
im103.jpg,0.9762039660056657,0.9700878933938191
im118.jpg,0.9779355820441288,0.6566134185303515
im158.jpg,0.8258885796413743,0.90297331372137
im159.jpg,0.8141472613252643,0.852275225324247
im210.jpg,0.8195404025232803,0.9579363652705375
img_456227979.jpg,0.0,0.9509475418840978
img_812503560.jpg,0.8925626002910774,0.7643891711534087
sun_aaadbvospbcqnnvq.jpg,0.869532112536643,0.8853426048910071
sun_aaafvavryivlwifa.jpg,0.9726201082859297,0.7585139318885449
sun_aaaidwecchadbake.jpg,0.9541595925297114,0.900679719995942
sun_aaakmngjkzrdfzai.jpg,0.9398678209066369,0.9528742067935797
sun_aaamusgkshwbqpup.jpg,0.7588076283269962,0.5168414636052455
sun_aaazwlvavwqcbwyb.jpg,0.0,0.786096256684492
sun_aabagnomapobavvz.jpg,0.12677435144395496,0.8968641114982578
sun_aabgqvuxroqhlflh.jpg,0.9161171450737006,0.9600248228784196
sun_aabihxplrkjjzopy.jpg,0.0,0.7876025524156791
sun_aabkzjntjfarengi.jpg,0.2266736473105552,0.4281229383260914
sun_aabllpjfwbxcirjd.jpg,0.43498265473799524,0.916480538976969
sun_aacfhfzudekkdqwi.jpg,0.9698745496375396,0.8795474325500435
sun_aacglewqjbbpfkan.jpg,0.0,0.9240400667779632
sun_aachpigfklgkuoyg.jpg,0.0032653868988719572,0.9680239073589839
sun_aacklalcwguymgef.jpg,0.0,0.6819099745210909
sun_aacvyknwkfzsxjbt.jpg,0.0,0.7703604806408545
sun_aaddfxtawmybtluk.jpg,0.8832004253056884,0.8662046186750413
sun_aadmjevvercatylj.jpg,0.9779025216074133,0.9655819774718398
sun_aadtmifyuvqcfkcr.jpg,0.9562810664256666,0.960447704756863
sun_aaeewhbicljkrdik.jpg,0.0,0.9276879162702188
sun_aaeijzjhbdeibdjh.jpg,0.9790968250838099,0.9594929186887194
sun_aaejodrdtwgvsghs.jpg,0.8971348556656613,0.9255752504679071
sun_aaeqgqhstxzjovhl.jpg,0.6201935003721161,0.5854626643512776
sun_aaerxysxopvbmqdq.jpg,0.3192783122555597,0.861812862206718
sun_aaeuxbehhiulglhu.jpg,0.30490272373540855,0.6944142914741184
sun_aaewqqmsjvmhegov.jpg,0.02678293366552476,0.8459758478559549
sun_aafbeopufqmfjpgs.jpg,0.9162681037386325,0.9316841360250749
sun_aafcuyxmktjzkfgc.jpg,0.8335843373493976,0.8864400448262981
sun_aafdvoudzicgjeib.jpg,0.11965040879616577,0.9637836013946688
sun_aafmenolzglxmlma.jpg,0.0,0.9664250286150324
sun_aafursrpkimodzup.jpg,0.21998158652846664,0.9483024691358025
sun_aafvrsnoikyyntky.jpg,0.2039648155441775,0.9420225713653463
sun_aafwfgrzzmbgomzq.jpg,0.968961850325668,0.891494002181025
sun_aagdjpvdyjabbqxy.jpg,0.6549262576604485,0.7637219762456954
sun_aaggleempnvtxpwk.jpg,0.9320299173336832,0.9666530556689805
sun_aagjvjynskmonnbv.jpg,0.0,0.9042016806722689
sun_aagknnechdmnkcoh.jpg,0.8447243444146191,0.8936609539541607
sun_aagltzisayfhvxfl.jpg,0.12038040627950072,0.662035199153103
sun_aagnrtudwwsovfnp.jpg,0.9771440892674249,0.9463717291610466
sun_aagplssxsrfcuzsk.jpg,0.921443736730361,0.7676008202323992
sun_aagsgbmhhvhgqykk.jpg,0.9729848451570393,0.9588849661665195
sun_aahdcitelwslfxwx.jpg,0.9795064629847239,0.9787685774946921
sun_aahfqqcmvkdkcopk.jpg,0.6223395991921703,0.7631645698051948
sun_aahhxgeflpnpxbdp.jpg,0.9122357463164638,0.9454061251664447
